CSIQ,FSLR,ENPH,DQ,JKS,SEDG,SPWR
18.200001,43.470001,56.419998,10.456,15.05,4.400786,4.400786
19.049999,46.560001,58.43,10.502,15.84,4.767518,4.767518
19.280001,46.610001,57.860001,10.378,15.78,4.774067,4.774067
18.139999,45.52,55.799999,10.058,15.22,4.59725,4.59725
18.799999,46.619999,58.189999,10.234,15.81,4.728225,4.728225
18.709999,48.009998,59.68,10.856,15.6,4.846103,4.846103
18.4,47.900002,56.950001,10.688,15.58,4.826457,4.826457
19.09,49.5,53.32,11.098,16.860001,5.094957,5.094957
19.23,49.610001,51.639999,11.234,17.42,4.97053,4.97053
19.23,51.380001,54.59,11.776,18.049999,5.239031,5.239031
20.200001,54.439999,52.900002,12.398,19.129999,5.841519,5.841519
19.1,53.060001,51.580002,11.47,17.969999,5.284872,5.284872
18.440001,51.189999,49.349998,11.748,18.190001,5.003274,5.003274
16.950001,48.939999,47.66,11.312,16.959999,4.584152,4.584152
17.74,49.419998,48.630001,11.602,17.85,4.826457,4.826457
17.84,50.110001,50.450001,11.366,16.27,4.819908,4.819908
18.07,51.310001,52.759998,11.166,16.280001,5.022921,5.022921
17.41,49.900002,39.040001,11.398,15.87,4.610347,4.610347
17.76,50.470001,45.720001,11.882,15.65,4.636542,4.636542
18.049999,50.200001,46.720001,11.996,16.040001,4.767518,4.767518
17.76,49.799999,45.560001,12.042,15.67,4.675835,4.675835
18.43,51.919998,45.490002,13.77,16.9,4.885396,4.885396
18.66,49.080002,46.68,14.662,17.41,4.734774,4.734774
19.139999,50.380001,45.799999,14.292,17.68,5.042567,5.042567
18.469999,48.759998,45.299999,13.952,16.98,4.721676,4.721676
19.030001,49.610001,47.450001,15.264,17.9,4.891945,4.891945
19.27,49.5,47.57,14.848,17.709999,5.016372,5.016372
19.33,49.09,49.060001,17.191999,18.799999,4.996726,4.996726
20.040001,49.880001,48.860001,17.030001,19.139999,5.08186,5.08186
22.1,53.41,50.16,19.434,21.469999,5.553373,5.553373
22.290001,53.16,50.639999,17.738001,21.360001,5.638507,5.638507
23.67,58.060001,54.93,18.434,22.9,6.168959,6.168959
23.889999,57.200001,55.790001,17.997999,21.940001,6.404715,6.404715
23.4,57.490002,55.43,17.924,21.0,6.044532,6.044532
23.15,56.209999,52.32,17.534,20.719999,5.874263,5.874263
23.690001,61.779999,55.880001,18.552,20.9,6.463654,6.463654
23.73,60.98,57.950001,18.628,21.66,6.941716,6.941716
22.799999,59.029999,57.740002,17.521999,19.860001,6.411264,6.411264
23.43,61.0,59.310001,17.742001,20.530001,6.293386,6.293386
24.879999,62.16,63.540001,22.222,22.25,6.777996,6.777996
23.23,60.740002,61.099998,21.356001,20.33,6.411264,6.411264
23.0,61.150002,62.080002,21.892,19.98,6.457105,6.457105
22.959999,62.5,61.669998,21.889999,20.360001,6.627374,6.627374
22.76,62.16,59.650002,21.709999,19.1,6.37852,6.37852
24.629999,62.259998,62.220001,21.878,20.290001,6.981009,6.981009
23.01,59.68,57.23,20.854,19.280001,6.411264,6.411264
22.77,60.110001,59.119999,21.0,19.51,6.37852,6.37852
22.549999,59.700001,59.139999,22.194,19.43,6.247544,6.247544
22.139999,59.549999,60.360001,22.181999,19.15,6.11002,6.11002
22.42,60.84,61.209999,23.322001,19.950001,6.483301,6.483301
23.98,64.040001,68.949997,24.844,21.299999,7.275704,7.275704
23.77,65.730003,74.989998,24.93,21.27,7.531107,7.531107
23.620001,64.459999,71.370003,23.77,20.950001,7.308448,7.308448
25.32,72.93,72.839996,24.51,21.879999,7.766863,7.766863
24.459999,72.5,71.839996,23.827999,21.07,7.94368,7.94368
24.040001,70.190002,67.300003,23.209999,20.41,7.616241,7.616241
25.030001,73.529999,71.190002,23.806,21.49,7.799607,7.799607
26.379999,75.709999,74.879997,23.190001,22.0,7.629339,7.629339
25.889999,74.309998,73.160004,22.427999,21.35,7.432875,7.432875
25.940001,73.610001,75.059998,22.882,21.620001,7.518009,7.518009
26.700001,74.410004,75.160004,24.483999,22.9,7.694826,7.694826
26.59,75.849998,75.489998,25.038,22.58,7.799607,7.799607
25.690001,73.660004,73.089996,24.573999,21.360001,7.354289,7.354289
25.959999,74.099998,73.139999,24.601999,21.52,7.662083,7.662083
27.059999,76.519997,73.360001,24.917999,22.219999,7.956778,7.956778
27.719999,77.370003,75.93,26.674,22.32,8.696791,8.696791
28.049999,78.190002,75.239998,25.771999,21.91,8.91945,8.91945
28.639999,77.610001,73.440002,24.639999,21.620001,11.05,11.05
32.52,80.0,76.040001,25.034,23.25,11.43,11.43
32.490002,76.589996,77.230003,22.562,22.84,11.19,11.19
33.75,78.419998,78.709999,22.712,23.16,11.93,11.93
33.490002,77.449997,77.019997,22.374001,22.92,12.05,12.05
30.83,72.5,67.800003,20.188,20.41,11.22,11.22
30.299999,72.059998,66.160004,19.856001,20.110001,11.09,11.09
29.860001,69.370003,65.050003,20.062,20.059999,10.99,10.99
30.969999,71.699997,67.709999,19.774,20.75,11.73,11.73
27.68,69.889999,66.099998,19.306,20.48,10.66,10.66
28.42,69.910004,65.099998,22.514,21.139999,10.64,10.64
30.139999,71.459999,69.489998,23.378,22.809999,10.97,10.97
31.27,72.889999,72.160004,24.0,23.35,11.02,11.02
30.48,71.959999,72.830002,23.774,23.700001,10.69,10.69
29.52,64.0,66.870003,22.844,23.43,9.89,9.89
29.280001,61.75,68.269997,22.282,24.5,10.11,10.11
29.43,61.669998,70.720001,22.556,27.450001,10.03,10.03
29.65,61.549999,72.230003,23.021999,27.66,10.17,10.17
30.280001,62.02,70.269997,24.903999,33.459999,10.21,10.21
29.9,61.299999,69.410004,24.278,32.830002,10.14,10.14
32.18,63.049999,73.620003,24.374001,35.59,10.66,10.66
34.02,65.370003,78.139999,25.983999,37.77,11.7,11.7
34.040001,65.760002,80.800003,26.110001,39.25,11.96,11.96
35.099998,66.199997,82.589996,27.048,39.759998,12.51,12.51
36.349998,68.57,89.510002,29.832001,42.740002,13.36,13.36
35.900002,67.239998,90.43,29.757999,44.130001,13.56,13.56
38.25,71.5,98.050003,33.599998,48.32,15.56,15.56
38.919998,73.440002,98.57,34.400002,47.77,15.61,15.61
40.779999,78.709999,107.82,37.756001,55.91,17.33,17.33
39.48,77.120003,105.5,37.307999,54.959999,16.889999,16.889999
41.619999,78.809998,109.18,39.306,62.84,17.43,17.43
37.849998,79.309998,104.43,39.226002,59.400002,16.52,16.52
39.240002,82.93,106.650002,42.444,62.650002,16.66,16.66
39.700001,83.720001,108.970001,43.751999,68.029999,16.870001,16.870001
38.91,82.279999,110.709999,40.335999,66.870003,16.98,16.98
37.970001,84.18,110.839996,40.001999,69.910004,16.969999,16.969999
39.459999,83.43,114.690002,42.228001,75.629997,17.52,17.52
44.119999,84.300003,116.139999,48.397999,87.550003,17.690001,17.690001
39.509998,81.599998,101.529999,39.821999,68.610001,16.120001,16.120001
39.900002,82.650002,103.459999,39.599998,69.370003,16.41,16.41
40.369999,85.370003,103.330002,39.618,64.389999,16.860001,16.860001
38.740002,83.75,103.669998,35.762001,64.919998,16.42,16.42
38.009998,82.389999,98.629997,34.778,59.459999,15.49,15.49
37.990002,93.309998,102.809998,35.875999,59.720001,16.200001,16.200001
37.68,87.459999,102.510002,37.537998,61.02,16.389999,16.389999
36.349998,87.050003,98.089996,36.521999,58.299999,15.99,15.99
36.959999,88.889999,103.830002,39.824001,62.77,16.85,16.85
36.73,87.239998,104.75,40.028,64.120003,17.049999,17.049999
35.700001,79.779999,106.190002,37.341999,56.330002,16.57,16.57
39.970001,86.900002,120.260002,44.284,72.349998,19.389999,19.389999
39.849998,88.269997,122.529999,44.557999,65.330002,20.33,20.33
39.32,86.110001,117.080002,41.897999,62.490002,19.26,19.26
38.93,80.75,109.389999,40.0,61.169998,18.57,18.57
40.509998,84.199997,120.43,44.374001,67.760002,19.51,19.51
39.419998,81.400002,117.209999,42.630001,63.439999,18.73,18.73
38.830002,79.949997,116.589996,43.476002,64.5,18.99,18.99
38.73,80.209999,119.93,43.683998,62.470001,19.73,19.73
39.689999,81.480003,125.120003,43.580002,61.700001,20.440001,20.440001
38.720001,81.989998,124.919998,39.869999,59.439999,19.85,19.85
37.16,84.059998,128.889999,40.080002,59.23,21.030001,21.030001
38.43,84.690002,129.589996,41.709999,62.709999,21.700001,21.700001
39.830002,86.919998,134.429993,40.84,67.050003,21.93,21.93
40.619999,90.410004,136.020004,42.529999,67.040001,22.99,22.99
42.900002,92.449997,139.070007,43.09,68.510002,23.35,23.35
44.169998,94.699997,140.559998,45.259998,72.370003,23.16,23.16
42.759998,93.43,136.570007,43.02,69.040001,22.16,22.16
41.98,91.059998,128.850006,40.32,64.599998,21.24,21.24
41.900002,90.489998,127.93,40.139999,63.07,21.65,21.65
40.439999,88.919998,127.669998,39.200001,61.380001,20.690001,20.690001
40.529999,89.260002,130.460007,39.720001,61.400002,20.91,20.91
39.709999,88.75,129.320007,39.16,58.360001,21.049999,21.049999
39.959999,89.889999,134.740005,41.709999,62.419998,22.18,22.18
37.529999,86.220001,127.260002,41.02,57.860001,20.82,20.82
38.009998,86.540001,131.210007,42.490002,57.5,21.16,21.16
37.950001,86.370003,139.910004,43.139999,53.0,21.5,21.5
38.650002,86.589996,145.070007,48.310001,53.700001,21.99,21.99
43.02,91.260002,160.460007,55.990002,63.25,24.870001,24.870001
42.099998,91.769997,163.309998,57.279999,61.650002,25.01,25.01
41.360001,92.32,163.520004,57.139999,59.290001,24.620001,24.620001
45.02,93.589996,164.410004,58.259998,65.25,25.5,25.5
47.98,96.410004,170.779999,61.220001,71.309998,27.51,27.51
53.16,105.160004,177.270004,64.790001,78.519997,30.65,30.65
52.93,101.830002,180.320007,58.389999,79.959999,30.040001,30.040001
52.709999,102.400002,181.389999,54.77,72.209999,29.870001,29.870001
51.259998,101.190002,175.490005,56.650002,68.860001,26.309999,26.309999
49.509998,96.980003,170.199997,55.790001,65.5,24.73,24.73
50.68,100.339996,172.929993,57.060001,64.089996,25.889999,25.889999
51.240002,98.919998,175.470001,57.360001,61.869999,25.639999,25.639999
52.639999,101.239998,172.240005,62.330002,64.07,25.309999,25.309999
50.52,92.160004,181.479996,68.800003,64.730003,24.74,24.74
54.310001,99.690002,203.380005,73.5,68.660004,29.73,29.73
56.610001,105.5,213.759995,79.779999,72.309998,31.299999,31.299999
56.07,104.099998,207.410004,77.110001,66.400002,29.299999,29.299999
56.200001,103.760002,201.679993,76.529999,66.269997,29.65,29.65
55.98,104.32,206.490005,85.300003,65.970001,30.24,30.24
